date,city,housing_starts_total
2010-01-01,Calgary,514.0
2010-02-01,Calgary,743.0
2010-03-01,Calgary,904.0
2010-04-01,Calgary,909.0
2010-05-01,Calgary,862.0
2010-06-01,Calgary,685.0
2010-07-01,Calgary,1166.0
2010-08-01,Calgary,858.0
2010-09-01,Calgary,796.0
2010-10-01,Calgary,784.0
2010-11-01,Calgary,555.0
2010-12-01,Calgary,486.0
2011-01-01,Calgary,518.0
2011-02-01,Calgary,627.0
2011-03-01,Calgary,403.0
2011-04-01,Calgary,556.0
2011-05-01,Calgary,707.0
2011-06-01,Calgary,719.0
2011-07-01,Calgary,658.0
2011-08-01,Calgary,1237.0
2011-09-01,Calgary,810.0
2011-10-01,Calgary,981.0
2011-11-01,Calgary,1106.0
2011-12-01,Calgary,970.0
2012-01-01,Calgary,786.0
2012-02-01,Calgary,1345.0
2012-03-01,Calgary,1069.0
2012-04-01,Calgary,1711.0
2012-05-01,Calgary,949.0
2012-06-01,Calgary,1184.0
2012-07-01,Calgary,910.0
2012-08-01,Calgary,1039.0
2012-09-01,Calgary,1012.0
2012-10-01,Calgary,980.0
2012-11-01,Calgary,990.0
2012-12-01,Calgary,866.0
2013-01-01,Calgary,719.0
2013-02-01,Calgary,896.0
2013-03-01,Calgary,890.0
2013-04-01,Calgary,1067.0
2013-05-01,Calgary,1078.0
2013-06-01,Calgary,912.0
2013-07-01,Calgary,1385.0
2013-08-01,Calgary,982.0
2013-09-01,Calgary,904.0
2013-10-01,Calgary,1162.0
2013-11-01,Calgary,1693.0
2013-12-01,Calgary,896.0
2014-01-01,Calgary,1328.0
2014-02-01,Calgary,1270.0
2014-03-01,Calgary,1667.0
2014-04-01,Calgary,1592.0
2014-05-01,Calgary,1030.0
2014-06-01,Calgary,2407.0
2014-07-01,Calgary,1354.0
2014-08-01,Calgary,1627.0
2014-09-01,Calgary,1528.0
2014-10-01,Calgary,1410.0
2014-11-01,Calgary,1078.0
2014-12-01,Calgary,840.0
2015-01-01,Calgary,747.0
2015-02-01,Calgary,791.0
2015-03-01,Calgary,1639.0
2015-04-01,Calgary,777.0
2015-05-01,Calgary,1058.0
2015-06-01,Calgary,1616.0
2015-07-01,Calgary,770.0
2015-08-01,Calgary,1134.0
2015-09-01,Calgary,1299.0
2015-10-01,Calgary,1078.0
2015-11-01,Calgary,1368.0
2015-12-01,Calgary,756.0
2016-01-01,Calgary,567.0
2016-02-01,Calgary,589.0
2016-03-01,Calgary,411.0
2016-04-01,Calgary,815.0
2016-05-01,Calgary,648.0
2016-06-01,Calgary,830.0
2016-07-01,Calgary,1091.0
2016-08-01,Calgary,742.0
2016-09-01,Calgary,1205.0
2016-10-01,Calgary,627.0
2016-11-01,Calgary,745.0
2016-12-01,Calgary,975.0
2017-01-01,Calgary,426.0
2017-02-01,Calgary,508.0
2017-03-01,Calgary,1145.0
2017-04-01,Calgary,1099.0
2017-05-01,Calgary,957.0
2017-06-01,Calgary,1390.0
2017-07-01,Calgary,1146.0
2017-08-01,Calgary,809.0
2017-09-01,Calgary,914.0
2017-10-01,Calgary,953.0
2017-11-01,Calgary,1504.0
2017-12-01,Calgary,683.0
2018-01-01,Calgary,651.0
2018-02-01,Calgary,578.0
2018-03-01,Calgary,831.0
2018-04-01,Calgary,1203.0
2018-05-01,Calgary,1649.0
2018-06-01,Calgary,1067.0
2018-07-01,Calgary,1010.0
2018-08-01,Calgary,1096.0
2018-09-01,Calgary,834.0
2018-10-01,Calgary,686.0
2018-11-01,Calgary,836.0
2018-12-01,Calgary,530.0
2019-01-01,Calgary,700.0
2019-02-01,Calgary,602.0
2019-03-01,Calgary,520.0
2019-04-01,Calgary,955.0
2019-05-01,Calgary,812.0
2019-06-01,Calgary,1111.0
2019-07-01,Calgary,691.0
2019-08-01,Calgary,1051.0
2019-09-01,Calgary,1565.0
2019-10-01,Calgary,818.0
2019-11-01,Calgary,954.0
2019-12-01,Calgary,2130.0
2020-01-01,Calgary,642.0
2020-02-01,Calgary,646.0
2020-03-01,Calgary,944.0
2020-04-01,Calgary,575.0
2020-05-01,Calgary,721.0
2020-06-01,Calgary,425.0
2020-07-01,Calgary,737.0
2020-08-01,Calgary,736.0
2020-09-01,Calgary,1035.0
2020-10-01,Calgary,982.0
2020-11-01,Calgary,952.0
2020-12-01,Calgary,840.0
2021-01-01,Calgary,1122.0
2021-02-01,Calgary,642.0
2021-03-01,Calgary,1058.0
2021-04-01,Calgary,1299.0
2021-05-01,Calgary,1581.0
2021-06-01,Calgary,1173.0
2021-07-01,Calgary,1404.0
2021-08-01,Calgary,1110.0
