date,hpi_sa,city
2010-01-01,159.45,Calgary
2010-02-01,158.56,Calgary
2010-03-01,161.63,Calgary
2010-04-01,159.33,Calgary
2010-05-01,160.33,Calgary
2010-06-01,158.85,Calgary
2010-07-01,156.57,Calgary
2010-08-01,156.23,Calgary
2010-09-01,150.55,Calgary
2010-10-01,154.65,Calgary
2010-11-01,155.95,Calgary
2010-12-01,154.35,Calgary
2011-01-01,153.61,Calgary
2011-02-01,156.02,Calgary
2011-03-01,153.3,Calgary
2011-04-01,153.96,Calgary
2011-05-01,156.49,Calgary
2011-06-01,157.0,Calgary
2011-07-01,160.32,Calgary
2011-08-01,158.7,Calgary
2011-09-01,154.87,Calgary
2011-10-01,155.85,Calgary
2011-11-01,153.4,Calgary
2011-12-01,160.44,Calgary
2012-01-01,157.17,Calgary
2012-02-01,152.39,Calgary
2012-03-01,156.63,Calgary
2012-04-01,163.07,Calgary
2012-05-01,159.03,Calgary
2012-06-01,160.74,Calgary
2012-07-01,160.18,Calgary
2012-08-01,159.58,Calgary
2012-09-01,164.16,Calgary
2012-10-01,161.56,Calgary
2012-11-01,164.64,Calgary
2012-12-01,163.89,Calgary
2013-01-01,163.75,Calgary
2013-02-01,159.07,Calgary
2013-03-01,170.32,Calgary
2013-04-01,167.28,Calgary
2013-05-01,168.47,Calgary
2013-06-01,173.53,Calgary
2013-07-01,167.34,Calgary
2013-08-01,172.2,Calgary
2013-09-01,172.27,Calgary
2013-10-01,173.2,Calgary
2013-11-01,173.67,Calgary
2013-12-01,175.03,Calgary
2014-01-01,178.14,Calgary
2014-02-01,180.56,Calgary
2014-03-01,181.68,Calgary
2014-04-01,184.61,Calgary
2014-05-01,184.45,Calgary
2014-06-01,182.53,Calgary
2014-07-01,185.87,Calgary
2014-08-01,186.58,Calgary
2014-09-01,187.99,Calgary
2014-10-01,189.75,Calgary
2014-11-01,188.19,Calgary
2014-12-01,186.95,Calgary
2015-01-01,188.05,Calgary
2015-02-01,188.78,Calgary
2015-03-01,186.54,Calgary
2015-04-01,188.27,Calgary
2015-05-01,169.9,Calgary
2015-06-01,184.37,Calgary
2015-07-01,188.66,Calgary
2015-08-01,187.9,Calgary
2015-09-01,186.05,Calgary
2015-10-01,184.97,Calgary
2015-11-01,182.83,Calgary
2015-12-01,181.62,Calgary
2016-01-01,182.57,Calgary
2016-02-01,179.98,Calgary
2016-03-01,180.35,Calgary
2016-04-01,180.33,Calgary
2016-05-01,181.3,Calgary
2016-06-01,179.9,Calgary
2016-07-01,178.43,Calgary
2016-08-01,178.59,Calgary
2016-09-01,179.23,Calgary
2016-10-01,181.42,Calgary
2016-11-01,183.06,Calgary
2016-12-01,186.66,Calgary
2017-01-01,184.21,Calgary
2017-02-01,182.04,Calgary
2017-03-01,183.43,Calgary
2017-04-01,183.84,Calgary
2017-05-01,182.26,Calgary
2017-06-01,183.34,Calgary
2017-07-01,184.27,Calgary
2017-08-01,181.31,Calgary
2017-09-01,184.84,Calgary
2017-10-01,183.29,Calgary
2017-11-01,185.13,Calgary
2017-12-01,184.68,Calgary
2018-01-01,183.75,Calgary
2018-02-01,184.63,Calgary
2018-03-01,182.78,Calgary
