date,bc_vancouver_index,bc_vancouver_sa_index,ab_calgary_index,ab_calgary_sa_index
2000-01-01,67.77,68.62,70.7,71.33
2000-02-01,67.69,68.71,71.85,72.24
2000-03-01,67.65,68.34,72.11,72.44
2000-04-01,68.06,68.58,72.67,72.89
2000-05-01,68.22,68.48,72.89,73.16
2000-06-01,68.78,68.86,73.72,73.84
2000-07-01,69.11,69.1,73.1,73.33
2000-08-01,68.54,68.8,74.04,74.26
2000-09-01,68.54,68.88,73.7,73.85
2000-10-01,67.92,68.41,73.78,74.04
2000-11-01,67.8,68.38,73.49,73.74
2000-12-01,68.14,69.15,74.48,75.0
2001-01-01,68.35,69.32,74.5,75.13
2001-02-01,68.58,69.62,75.73,76.2
2001-03-01,68.09,68.83,75.23,75.64
2001-04-01,67.22,67.75,75.58,75.78
2001-05-01,69.15,69.4,75.58,75.86
2001-06-01,69.69,69.7,76.05,76.21
2001-07-01,69.49,69.37,76.44,76.63
2001-08-01,69.47,69.66,76.74,76.95
2001-09-01,69.79,70.13,77.77,77.9
2001-10-01,70.46,70.98,77.58,77.82
2001-11-01,70.32,70.83,78.04,78.2
2001-12-01,70.25,71.43,78.02,78.62
2002-01-01,70.33,71.42,78.46,79.07
2002-02-01,71.46,72.64,79.33,80.01
2002-03-01,72.08,72.9,79.87,80.41
2002-04-01,72.88,73.49,80.75,80.98
2002-05-01,73.98,74.25,81.56,81.87
2002-06-01,74.48,74.43,82.04,82.26
2002-07-01,75.24,75.0,82.73,82.81
2002-08-01,75.21,75.26,83.09,83.22
2002-09-01,75.16,75.53,83.79,83.82
2002-10-01,74.92,75.43,84.64,84.79
2002-11-01,76.09,76.5,85.38,85.46
2002-12-01,75.13,76.55,84.78,85.52
2003-01-01,76.18,77.47,85.97,86.68
2003-02-01,76.85,78.3,86.66,87.69
2003-03-01,78.07,79.04,86.28,87.09
2003-04-01,78.6,79.31,87.32,87.65
2003-05-01,79.28,79.64,87.56,87.9
2003-06-01,80.12,80.05,87.85,88.12
2003-07-01,80.69,80.27,88.3,88.1
2003-08-01,81.55,81.38,88.83,88.76
2003-09-01,81.67,81.94,89.11,88.95
2003-10-01,83.14,83.64,89.32,89.26
2003-11-01,84.49,84.79,90.31,90.32
2003-12-01,83.43,85.18,89.74,90.64
2004-01-01,85.03,86.61,90.51,91.42
2004-02-01,85.78,87.67,90.77,92.3
2004-03-01,87.75,88.91,91.5,92.68
2004-04-01,89.43,90.31,92.72,93.25
2004-05-01,90.32,90.84,92.46,92.81
2004-06-01,92.22,92.17,92.72,92.91
2004-07-01,93.42,92.8,93.95,93.34
2004-08-01,92.9,92.4,93.62,93.23
2004-09-01,92.93,93.04,94.17,93.76
2004-10-01,92.4,92.79,94.73,94.41
2004-11-01,93.79,93.97,95.64,95.67
2004-12-01,93.12,95.26,95.97,97.04
2005-01-01,94.81,96.74,96.9,98.24
2005-02-01,93.51,95.86,95.64,97.68
2005-03-01,95.5,96.86,97.59,99.23
2005-04-01,96.69,97.7,98.17,98.88
2005-05-01,98.54,99.28,99.45,99.81
2005-06-01,100.0,100.0,100.0,100.0
2005-07-01,102.04,101.24,101.3,100.16
2005-08-01,103.62,102.83,102.49,101.78
2005-09-01,103.02,102.78,103.45,102.9
2005-10-01,104.57,104.86,104.84,104.18
2005-11-01,106.24,106.31,105.29,105.35
2005-12-01,105.73,108.3,106.05,107.31
2006-01-01,107.72,110.09,108.37,110.32
2006-02-01,108.04,110.99,111.06,113.81
2006-03-01,111.06,112.77,114.23,116.44
2006-04-01,113.34,114.59,120.65,121.74
2006-05-01,113.29,114.24,124.41,124.81
2006-06-01,117.91,117.96,131.47,131.14
2006-07-01,127.1,126.09,141.31,139.2
2006-08-01,127.41,126.36,148.87,147.53
2006-09-01,129.11,128.45,149.63,148.86
2006-10-01,129.18,129.34,151.79,150.58
2006-11-01,130.09,130.12,155.13,155.24
2006-12-01,127.07,130.19,153.14,155.06
2007-01-01,127.93,130.88,141.8,144.91
2007-02-01,129.75,133.42,154.37,158.4
2007-03-01,132.91,135.08,157.98,161.17
2007-04-01,135.15,136.62,162.87,164.59
2007-05-01,136.24,137.37,167.68,168.08
2007-06-01,138.53,138.57,172.37,171.54
2007-07-01,141.01,140.0,175.06,171.99
2007-08-01,142.37,141.39,174.5,172.83
2007-09-01,142.91,141.89,173.29,172.72
2007-10-01,144.6,144.77,173.27,171.85
2007-11-01,145.02,145.03,171.51,171.55
2007-12-01,143.01,146.43,170.07,172.29
2008-01-01,145.49,148.98,167.17,171.28
2008-02-01,146.47,150.52,167.67,171.85
2008-03-01,150.02,152.54,167.88,171.22
2008-04-01,151.0,152.48,169.72,171.85
2008-05-01,150.74,151.81,169.2,169.37
2008-06-01,150.9,150.78,168.69,167.5
2008-07-01,151.11,150.24,167.55,164.36
2008-08-01,149.35,148.7,162.85,161.21
2008-09-01,149.41,148.43,158.89,158.81
2008-10-01,145.5,145.84,162.31,161.32
2008-11-01,143.75,143.85,158.76,158.93
2008-12-01,137.15,140.21,154.66,156.62
2009-01-01,133.73,136.92,151.79,155.69
2009-02-01,134.97,138.49,158.75,162.23
2009-03-01,131.97,134.17,150.08,152.94
2009-04-01,132.98,134.06,148.49,150.49
2009-05-01,134.45,135.12,146.43,146.37
2009-06-01,137.11,136.81,149.35,147.99
2009-07-01,139.53,138.89,153.18,150.22
2009-08-01,141.64,141.56,153.24,151.8
2009-09-01,145.91,145.21,153.89,154.11
2009-10-01,147.08,147.8,155.32,154.89
2009-11-01,149.75,150.03,157.51,157.86
2009-12-01,151.28,154.32,162.12,164.17
2010-01-01,151.86,155.32,155.51,159.45
2010-02-01,151.82,155.35,155.7,158.56
2010-03-01,154.35,156.93,158.8,161.63
2010-04-01,156.36,157.42,157.08,159.33
2010-05-01,156.87,157.22,160.54,160.33
2010-06-01,158.04,157.58,160.65,158.85
2010-07-01,154.41,153.87,159.38,156.57
2010-08-01,155.21,155.61,157.75,156.23
2010-09-01,156.08,155.78,150.41,150.55
2010-10-01,154.67,155.8,154.52,154.65
2010-11-01,158.4,159.09,155.2,155.95
2010-12-01,158.38,161.2,152.3,154.35
2011-01-01,158.38,161.59,150.06,153.61
2011-02-01,160.76,163.95,153.61,156.02
2011-03-01,162.72,165.38,150.75,153.3
2011-04-01,166.7,167.68,151.91,153.96
2011-05-01,168.64,168.69,156.79,156.49
2011-06-01,171.63,171.22,158.86,157.0
2011-07-01,171.84,171.42,162.74,160.32
2011-08-01,171.78,172.55,160.26,158.7
2011-09-01,171.07,171.16,155.14,154.87
2011-10-01,170.26,171.7,155.41,155.85
2011-11-01,171.54,172.77,152.37,153.4
2011-12-01,169.5,172.3,157.95,160.44
2012-01-01,168.33,171.32,153.85,157.17
2012-02-01,169.31,171.93,150.4,152.39
2012-03-01,173.06,175.95,154.02,156.63
2012-04-01,172.03,172.98,161.15,163.07
2012-05-01,174.91,174.87,159.22,159.03
2012-06-01,172.83,172.65,162.42,160.74
2012-07-01,172.78,172.42,162.18,160.18
2012-08-01,169.21,170.0,161.3,159.58
2012-09-01,169.97,170.33,164.95,164.16
2012-10-01,167.74,169.17,161.09,161.56
2012-11-01,167.04,168.74,163.17,164.64
2012-12-01,165.21,167.92,160.99,163.89
2013-01-01,166.01,168.6,160.82,163.75
2013-02-01,169.64,171.61,157.09,159.07
2013-03-01,165.29,168.14,167.46,170.32
2013-04-01,167.15,168.16,165.8,167.28
2013-05-01,169.55,169.67,168.52,168.47
2013-06-01,168.02,168.06,174.79,173.53
