date,overnight_rate
2010-01-01,0.2442
2010-02-01,0.2476
2010-03-01,0.2443
2010-04-01,0.248
2010-05-01,0.2437
2010-06-01,0.4928
2010-07-01,0.74
2010-08-01,0.7481
2010-09-01,0.9976
2010-10-01,0.9969
2010-11-01,0.9997
2010-12-01,0.9924
2011-01-01,0.9937
2011-02-01,0.9934
2011-03-01,0.9944
2011-04-01,0.997
2011-05-01,0.9967
2011-06-01,0.9981
2011-07-01,0.9986
2011-08-01,0.9977
2011-09-01,0.9989
2011-10-01,0.9993
2011-11-01,0.9983
2011-12-01,0.9998
2012-01-01,0.9987
2012-02-01,0.9978
2012-03-01,0.998
2012-04-01,1.0079
2012-05-01,1.0
2012-06-01,0.9984
2012-07-01,0.9974
2012-08-01,0.999
2012-09-01,0.9991
2012-10-01,1.0024
2012-11-01,0.9985
2012-12-01,0.9982
2013-01-01,1.0048
2013-02-01,1.0072
2013-03-01,1.0065
2013-04-01,1.0036
2013-05-01,1.0063
2013-06-01,1.0067
2013-07-01,0.9998
2013-08-01,0.9978
2013-09-01,0.9948
2013-10-01,0.9994
2013-11-01,0.9997
2013-12-01,1.0012
2014-01-01,0.9993
2014-02-01,0.9945
2014-03-01,0.998
2014-04-01,0.9978
2014-05-01,0.9978
2014-06-01,0.9988
2014-07-01,0.999
2014-08-01,0.9976
2014-09-01,0.9979
2014-10-01,1.0024
2014-11-01,1.0
2014-12-01,1.0114
2015-01-01,0.7502
2015-02-01,0.7595
2015-03-01,0.7558
2015-04-01,0.7473
2015-05-01,0.727
2015-06-01,0.7464
2015-07-01,0.5019
2015-08-01,0.5026
2015-09-01,0.5002
2015-10-01,0.4991
2015-11-01,0.4967
2015-12-01,0.5242
2016-01-01,0.5153
2016-02-01,0.4991
2016-03-01,0.4981
2016-04-01,0.5005
2016-05-01,0.4974
2016-06-01,0.5035
2016-07-01,0.5078
2016-08-01,0.4926
2016-09-01,0.4969
2016-10-01,0.4883
2016-11-01,0.4893
2016-12-01,0.4936
2017-01-01,0.4885
2017-02-01,0.4887
2017-03-01,0.5003
2017-04-01,0.4953
2017-05-01,0.4886
2017-06-01,0.4941
2017-07-01,0.7414
2017-08-01,0.7473
2017-09-01,0.9941
2017-10-01,0.9955
2017-11-01,0.9916
2017-12-01,0.997
2018-01-01,1.2461
2018-02-01,1.2367
2018-03-01,1.2457
2018-04-01,1.2461
2018-05-01,1.2434
2018-06-01,1.2464
2018-07-01,1.4948
2018-08-01,1.4961
2018-09-01,1.4979
2018-10-01,1.7476
2018-11-01,1.7473
2018-12-01,1.7516
2019-01-01,1.7462
2019-02-01,1.7455
2019-03-01,1.7461
2019-04-01,1.7459
2019-05-01,1.745
2019-06-01,1.7429
2019-07-01,1.7469
2019-08-01,1.7481
2019-09-01,1.7454
2019-10-01,1.7472
2019-11-01,1.7487
2019-12-01,1.7479
2020-01-01,1.7487
2020-02-01,1.7485
2020-03-01,0.7406
2020-04-01,0.2341
2020-05-01,0.2379
2020-06-01,0.2327
2020-07-01,0.2407
2020-08-01,0.2337
2020-09-01,0.2181
2020-10-01,0.2337
2020-11-01,0.2336
2020-12-01,0.1741
2021-01-01,0.1826
2021-02-01,0.2143
2021-03-01,0.1529
2021-04-01,0.1669
2021-05-01,0.1872
2021-06-01,0.1873
2021-07-01,0.193
2021-08-01,0.2026
2021-09-01,0.1824
2021-10-01,0.2025
2021-11-01,0.2078
2021-12-01,0.1274
2022-01-01,0.1811
2022-02-01,0.1754
2022-03-01,0.4403
2022-04-01,0.9208
2022-05-01,0.9486
2022-06-01,1.4479
2022-07-01,2.4656
2022-08-01,2.4812
2022-09-01,3.213
2022-10-01,3.2348
2022-11-01,3.7477
2022-12-01,4.2498
2023-01-01,4.2451
2023-02-01,4.4764
2023-03-01,4.4968
2023-04-01,4.4924
2023-05-01,4.4929
2023-06-01,4.7363
2023-07-01,4.9915
2023-08-01,4.997
2023-09-01,4.9906
2023-10-01,5.0105
2023-11-01,5.0139
2023-12-01,5.0218
2024-01-01,5.0299
2024-02-01,5.0017
2024-03-01,5.005
2024-04-01,4.9973
2024-05-01,5.0025
2024-06-01,4.7635
2024-07-01,4.508
2024-08-01,4.5149
2024-09-01,4.2662
2024-10-01,3.7774
2024-11-01,3.7582
2024-12-01,3.2769
2025-01-01,3.2723
2025-02-01,2.983
2025-03-01,2.7385
2025-04-01,2.7377
2025-05-01,2.7434
2025-06-01,2.7441
2025-07-01,2.747
2025-08-01,2.7598
2025-09-01,2.479
2025-10-01,2.5001
2025-11-01,2.2339
2025-12-01,2.2711
2026-01-01,2.2491
