,"Population"
"1950",132000
"1951",141000
"1952",151000
"1953",162000
"1954",174000
"1955",186000
"1956",199000
"1957",213000
"1958",228000
"1959",245000
"1960",262000
"1961",280000
"1962",289000
"1963",299000
"1964",310000
"1965",320000
"1966",332000
"1967",345000
"1968",359000
"1969",374000
"1970",389000
"1971",404000
"1972",417000
"1973",430000
"1974",443000
"1975",457000
"1976",472000
"1977",494000
"1978",518000
"1979",542000
"1980",568000
"1981",594000
"1982",609000
"1983",624000
"1984",640000
"1985",656000
"1986",673000
"1987",688000
"1988",705000
"1989",721000
"1990",738000
"1991",755000
"1992",768000
"1993",782000
"1994",795000
"1995",809000
"1996",825000
"1997",849000
"1998",875000
"1999",901000
"2000",927000
"2001",955000
"2002",979000
"2003",1004000
"2004",1030000
"2005",1056000
"2006",1083000
"2007",1109000
"2008",1135000
"2009",1162000
"2010",1190000
"2011",1220000
"2012",1253000
"2013",1288000
"2014",1324000
"2015",1360000
"2016",1398000
"2017",1437000
"2018",1477000
"2019",1513000
"2020",1547000
"2021",1581000
"2022",1611000
"2023",1640000
"2024",1665000
"2025",1688000
