,"Population"
"1950",556000
"1951",562000
"1952",569000
"1953",575000
"1954",581000
"1955",588000
"1956",594000
"1957",600000
"1958",607000
"1959",614000
"1960",620000
"1961",630000
"1962",676000
"1963",726000
"1964",779000
"1965",836000
"1966",895000
"1967",930000
"1968",967000
"1969",1005000
"1970",1045000
"1971",1084000
"1972",1100000
"1973",1117000
"1974",1133000
"1975",1150000
"1976",1168000
"1977",1187000
"1978",1207000
"1979",1227000
"1980",1247000
"1981",1268000
"1982",1290000
"1983",1313000
"1984",1336000
"1985",1359000
"1986",1384000
"1987",1426000
"1988",1469000
"1989",1513000
"1990",1559000
"1991",1606000
"1992",1650000
"1993",1695000
"1994",1741000
"1995",1789000
"1996",1836000
"1997",1866000
"1998",1896000
"1999",1927000
"2000",1959000
"2001",1990000
"2002",2015000
"2003",2041000
"2004",2067000
"2005",2093000
"2006",2121000
"2007",2160000
"2008",2198000
"2009",2238000
"2010",2278000
"2011",2317000
"2012",2347000
"2013",2376000
"2014",2407000
"2015",2437000
"2016",2468000
"2017",2499000
"2018",2531000
"2019",2556000
"2020",2581000
"2021",2606000
"2022",2632000
"2023",2657000
"2024",2683000
"2025",2708000
